CountryName,RegionName,Date,RN,PredictedDailyNewCases,PredictedDailyNewRatios
Argentina,,2020-12-28,1.0267048,13591,1.0396465
Argentina,,2020-12-29,1.0267048,8911,1.0395554
Argentina,,2020-12-30,1.0267048,9354,1.039426
Argentina,,2020-12-31,1.0267048,663,1.0372994
Argentina,,2021-01-01,1.0267048,11265,1.035409
Argentina,,2021-01-02,1.0267048,4219,1.034015
Argentina,,2021-01-03,1.0267048,5450,1.0325512
Argentina,,2021-01-04,1.0267048,13958,1.0315982
Argentina,,2021-01-05,1.0267048,9254,1.031084
Argentina,,2021-01-06,1.0267048,9663,1.0304074
Argentina,,2021-01-07,1.0267048,940,1.0297791
Argentina,,2021-01-08,1.0267048,11508,1.0291109
Argentina,,2021-01-09,1.0267048,4438,1.0286416
Argentina,,2021-01-10,1.0267048,5642,1.0281322
Argentina,,2021-01-11,1.0267048,14128,1.0277034
Argentina,,2021-01-12,1.0267048,9398,1.0272167
Argentina,,2021-01-13,1.0267048,9787,1.0268471
Argentina,,2021-01-14,1.0267048,1060,1.026771
Argentina,,2021-01-15,1.0267048,11626,1.0267327
Argentina,,2021-01-16,1.0267048,4547,1.0265603
Argentina,,2021-01-17,1.0267048,5754,1.0266047
Argentina,,2021-01-18,1.0267048,14245,1.0267048
Austria,,2020-12-28,1.0266211,1496,1.0304304
Austria,,2020-12-29,1.0266211,1399,1.0311356
Austria,,2020-12-30,1.0266211,2159,1.0313905
Austria,,2020-12-31,1.0266211,2606,1.03073
Austria,,2021-01-01,1.0266211,2885,1.0300112
Austria,,2021-01-02,1.0266211,1830,1.0294058
Austria,,2021-01-03,1.0266211,1301,1.0287944
Austria,,2021-01-04,1.0266211,1517,1.0283666
Austria,,2021-01-05,1.0266211,1417,1.0281509
Austria,,2021-01-06,1.0266211,2173,1.02788
Austria,,2021-01-07,1.0266211,2618,1.0276989
Austria,,2021-01-08,1.0266211,2895,1.0275891
Austria,,2021-01-09,1.0266211,1839,1.027461
Austria,,2021-01-10,1.0266211,1307,1.0272591
Austria,,2021-01-11,1.0266211,1521,1.0270886
Austria,,2021-01-12,1.0266211,1418,1.0269017
Austria,,2021-01-13,1.0266211,2172,1.0267097
Austria,,2021-01-14,1.0266211,2616,1.0266727
Austria,,2021-01-15,1.0266211,2893,1.0266348
Austria,,2021-01-16,1.0266211,1836,1.0265638
Austria,,2021-01-17,1.0266211,1304,1.0265787
Austria,,2021-01-18,1.0266211,1518,1.0266211
Belgium,,2020-12-28,1.026673,2536,1.048953
Belgium,,2020-12-29,1.026673,2323,1.0484087
Belgium,,2020-12-30,1.026673,3328,1.0468479
Belgium,,2020-12-31,1.026673,2672,1.0435236
Belgium,,2021-01-01,1.026673,2367,1.0398555
Belgium,,2021-01-02,1.026673,732,1.0373659
Belgium,,2021-01-03,1.026673,782,1.0351363
Belgium,,2021-01-04,1.026673,2456,1.0336409
Belgium,,2021-01-05,1.026673,2229,1.0325742
Belgium,,2021-01-06,1.026673,3219,1.0314988
Belgium,,2021-01-07,1.026673,2551,1.0305601
Belgium,,2021-01-08,1.026673,2237,1.0298105
Belgium,,2021-01-09,1.026673,595,1.0292226
Belgium,,2021-01-10,1.026673,637,1.0285076
Belgium,,2021-01-11,1.026673,2303,1.0278516
Belgium,,2021-01-12,1.026673,2070,1.0272408
Belgium,,2021-01-13,1.026673,3056,1.0268153
Belgium,,2021-01-14,1.026673,2388,1.0266739
Belgium,,2021-01-15,1.026673,2076,1.0266634
Belgium,,2021-01-16,1.026673,435,1.0265845
Belgium,,2021-01-17,1.026673,479,1.0266076
Belgium,,2021-01-18,1.026673,2148,1.026673
Bulgaria,,2020-12-28,1.0265086,645,1.0188817
Bulgaria,,2020-12-29,1.0265086,1763,1.0173317
Bulgaria,,2020-12-30,1.0265086,1587,1.0182008
Bulgaria,,2020-12-31,1.0265086,758,1.0198559
Bulgaria,,2021-01-01,1.0265086,255,1.0216563
Bulgaria,,2021-01-02,1.0265086,475,1.0235765
Bulgaria,,2021-01-03,1.0265086,342,1.0240697
Bulgaria,,2021-01-04,1.0265086,667,1.0236882
Bulgaria,,2021-01-05,1.0265086,1788,1.0241586
Bulgaria,,2021-01-06,1.0265086,1613,1.0243711
Bulgaria,,2021-01-07,1.0265086,786,1.0246739
Bulgaria,,2021-01-08,1.0265086,285,1.0248793
Bulgaria,,2021-01-09,1.0265086,506,1.0251492
Bulgaria,,2021-01-10,1.0265086,375,1.0254682
Bulgaria,,2021-01-11,1.0265086,704,1.0259861
Bulgaria,,2021-01-12,1.0265086,1827,1.026402
Bulgaria,,2021-01-13,1.0265086,1652,1.0263255
Bulgaria,,2021-01-14,1.0265086,826,1.0264844
Bulgaria,,2021-01-15,1.0265086,326,1.026601
Bulgaria,,2021-01-16,1.0265086,546,1.0263485
Bulgaria,,2021-01-17,1.0265086,415,1.0263526
Bulgaria,,2021-01-18,1.0265086,746,1.0265086
Canada,,2020-12-28,1.0265474,16627,1.0262163
Canada,,2020-12-29,1.0265474,7319,1.02597
Canada,,2020-12-30,1.0265474,7492,1.0259275
Canada,,2020-12-31,1.0265474,7179,1.0260464
Canada,,2021-01-01,1.0265474,6774,1.0262306
Canada,,2021-01-02,1.0265474,6256,1.02642
Canada,,2021-01-03,1.0265474,6426,1.0264452
Canada,,2021-01-04,1.0265474,17573,1.0263634
Canada,,2021-01-05,1.0265474,8282,1.0263937
Canada,,2021-01-06,1.0265474,8471,1.0263941
Canada,,2021-01-07,1.0265474,8175,1.026422
Canada,,2021-01-08,1.0265474,7786,1.0264255
Canada,,2021-01-09,1.0265474,7285,1.0264313
Canada,,2021-01-10,1.0265474,7473,1.0264517
Canada,,2021-01-11,1.0265474,18640,1.0264944
Canada,,2021-01-12,1.0265474,9368,1.0265324
Canada,,2021-01-13,1.0265474,9575,1.0265296
Canada,,2021-01-14,1.0265474,9298,1.0265452
Canada,,2021-01-15,1.0265474,8928,1.0265641
Canada,,2021-01-16,1.0265474,8443,1.0265334
Canada,,2021-01-17,1.0265474,8650,1.0265288
Canada,,2021-01-18,1.0265474,19837,1.0265474
