truth,pred,pred_sir,fecha
1237.0,1198.7400058044138,1342.9073120033872,2021-08-23
1237.0,1287.572123035882,1121.1769511660455,2021-08-23
1237.0,1154.0453343175836,1267.0537565310415,2021-08-23
1063.0,739.0,831.0,2021-08-24
1063.0,0.0,831.0,2021-08-24
941.0,812.0,758.0,2021-08-25
941.0,0.0,758.0,2021-08-25
1120.0,1152.0,898.0,2021-08-26
1120.0,0.0,898.0,2021-08-26
1580.0,1233.0,903.0,2021-08-27
1580.0,0.0,903.0,2021-08-27
1416.0,1252.0,858.0,2021-08-28
1416.0,0.0,858.0,2021-08-28
1364.0,1237.0,1020.0,2021-08-29
1364.0,0.0,1020.0,2021-08-29
1318.0,1063.0,3.0,2021-08-30
1318.0,0.0,3.0,2021-08-30
1291.0,941.0,255.0,2021-08-31
1291.0,0.0,255.0,2021-08-31
1026.0,1120.0,556.0,2021-09-01
1026.0,0.0,556.0,2021-09-01
1223.0,1580.0,447.0,2021-09-02
1223.0,0.0,447.0,2021-09-02
1793.0,1416.0,766.0,2021-09-03
1793.0,0.0,766.0,2021-09-03
1499.0,1364.0,712.0,2021-09-04
1499.0,0.0,712.0,2021-09-04
1639.0,1318.0,642.0,2021-09-05
1639.0,0.0,642.0,2021-09-05
1877.0,1291.0,842.0,2021-09-06
1877.0,0.0,842.0,2021-09-06
1877.0,1291.0,842.0,2021-09-06
