truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-08-23
0.0,0.0,0.0,2021-08-23
0.0,0.0,0.0,2021-08-23
4846.0,1574.0,1473.0,2021-08-24
4846.0,0.0,1473.0,2021-08-24
1432.0,2535.0,2298.0,2021-08-25
1432.0,0.0,2298.0,2021-08-25
2751.0,1910.0,1455.0,2021-08-26
2751.0,0.0,1455.0,2021-08-26
2323.0,1946.0,1422.0,2021-08-27
2323.0,0.0,1422.0,2021-08-27
2193.0,0.0,0.0,2021-08-28
2193.0,0.0,0.0,2021-08-28
0.0,0.0,0.0,2021-08-29
0.0,0.0,0.0,2021-08-29
0.0,4846.0,0.0,2021-08-30
0.0,0.0,0.0,2021-08-30
4884.0,1432.0,640.0,2021-08-31
4884.0,0.0,640.0,2021-08-31
1776.0,2751.0,1811.0,2021-09-01
1776.0,0.0,1811.0,2021-09-01
2724.0,2323.0,791.0,2021-09-02
2724.0,0.0,791.0,2021-09-02
2109.0,2193.0,1004.0,2021-09-03
2109.0,0.0,1004.0,2021-09-03
2221.0,0.0,0.0,2021-09-04
2221.0,0.0,0.0,2021-09-04
0.0,0.0,0.0,2021-09-05
0.0,0.0,0.0,2021-09-05
0.0,4884.0,1881.0,2021-09-06
0.0,0.0,1881.0,2021-09-06
0.0,4884.0,1881.0,2021-09-06
