truth,pred,pred_sir,fecha
318.0,297.72120116646704,336.3514945826946,2020-12-28
337.0,1603.0,1600.0,2020-12-29
1434.0,1365.0,1419.0,2020-12-30
1726.0,561.0,586.0,2020-12-31
1047.0,163.0,77.0,2021-01-01
267.0,429.0,291.0,2021-01-02
336.0,257.0,159.0,2021-01-03
167.0,301.0,0.0,2021-01-04
1031.0,1392.0,1443.0,2021-01-05
1308.0,1532.0,1266.0,2021-01-06
1008.0,834.0,437.0,2021-01-07
876.0,151.0,0.0,2021-01-08
752.0,315.0,149.0,2021-01-09
394.0,124.0,22.0,2021-01-10
112.0,1014.0,0.0,2021-01-11
112.0,708.0,0.0,2021-01-11
