truth,pred,pred_sir,fecha
5490.0,5336.87902541351,5850.8652921822,2020-12-28
6225.0,5603.0,5965.0,2020-12-29
9353.0,5913.0,6117.0,2020-12-30
7665.0,5537.0,5711.0,2020-12-31
6949.0,5155.0,5225.0,2021-01-01
6289.0,4660.0,4639.0,2021-01-02
5765.0,4877.0,4774.0,2021-01-03
9591.0,5583.0,0.0,2021-01-04
9670.0,8615.0,5200.0,2021-01-05
7482.0,6519.0,5339.0,2021-01-06
8826.0,6078.0,4931.0,2021-01-07
9204.0,5474.0,4441.0,2021-01-08
8859.0,5029.0,3858.0,2021-01-09
6855.0,8911.0,3994.0,2021-01-10
6373.0,8452.0,0.0,2021-01-11
6373.0,6800.0,0.0,2021-01-11
