truth,pred,pred_sir,fecha
1334.0,1243.4127673892121,1437.0660849118942,2021-04-05
1334.0,1319.6980300509185,1442.8212085737343,2021-04-05
113.0,1479.0,1914.0,2021-04-06
674.0,2591.0,2974.0,2021-04-07
1538.0,2450.0,2683.0,2021-04-08
3096.0,2315.0,2479.0,2021-04-09
2405.0,2181.0,2255.0,2021-04-10
2358.0,1369.0,1408.0,2021-04-11
1517.0,134.0,3434.0,2021-04-12
310.0,666.0,1908.0,2021-04-13
1830.0,1503.0,2927.0,2021-04-14
2964.0,3012.0,2611.0,2021-04-15
2757.0,2139.0,2375.0,2021-04-16
2520.0,2165.0,2131.0,2021-04-17
2569.0,1315.0,1254.0,2021-04-18
1546.0,186.0,3260.0,2021-04-19
1546.0,212.0,3260.0,2021-04-19
