truth,pred,pred_sir,fecha
581.0,526.2642861969329,626.9793280386257,2021-08-09
581.0,568.516493219302,624.9668839631554,2021-08-09
390.0,0.0,131.0,2021-08-10
411.0,564.0,246.0,2021-08-11
535.0,0.0,212.0,2021-08-12
464.0,553.0,231.0,2021-08-13
389.0,0.0,201.0,2021-08-14
410.0,581.0,305.0,2021-08-15
393.0,0.0,0.0,2021-08-16
159.0,411.0,0.0,2021-08-17
373.0,0.0,0.0,2021-08-18
384.0,464.0,4.0,2021-08-19
398.0,0.0,59.0,2021-08-20
396.0,410.0,63.0,2021-08-21
299.0,0.0,195.0,2021-08-22
297.0,159.0,0.0,2021-08-23
297.0,0.0,0.0,2021-08-23
297.0,159.0,0.0,2021-08-23
