truth,pred,pred_sir,fecha
6814.0,6272.169470018954,6345.7192278372595,2021-02-22
6814.0,6547.161976911673,6235.299339346777,2021-02-22
3993.0,9045.0,9264.0,2021-02-23
11249.0,13870.0,13106.0,2021-02-24
15800.0,12746.0,11043.0,2021-02-25
13736.0,13265.0,11456.0,2021-02-26
14532.0,12903.0,10539.0,2021-02-27
14742.0,8276.0,5882.0,2021-02-28
7846.0,4892.0,0.0,2021-03-01
4540.0,11766.0,8145.0,2021-03-02
12077.0,16978.0,11864.0,2021-03-03
16717.0,15281.0,9659.0,2021-03-04
15086.0,15798.0,9987.0,2021-03-05
14549.0,15909.0,8990.0,2021-03-06
13022.0,8856.0,4271.0,2021-03-07
9099.0,4112.0,0.0,2021-03-08
9099.0,4765.0,0.0,2021-03-08
