truth,pred,pred_sir,fecha
803.0,800.5854826123862,867.4266446062554,2021-05-31
803.0,811.7759964144137,855.4939734496205,2021-05-31
694.0,0.0,478.0,2021-06-01
660.0,844.0,770.0,2021-06-02
772.0,0.0,838.0,2021-06-03
827.0,775.0,641.0,2021-06-04
535.0,0.0,511.0,2021-06-05
186.0,803.0,648.0,2021-06-06
522.0,0.0,0.0,2021-06-07
0.0,660.0,299.0,2021-06-08
375.0,0.0,584.0,2021-06-09
849.0,827.0,651.0,2021-06-10
418.0,0.0,452.0,2021-06-11
403.0,186.0,324.0,2021-06-12
331.0,213.0,462.0,2021-06-13
168.0,0.0,0.0,2021-06-14
168.0,0.0,0.0,2021-06-14
