truth,pred,pred_sir,fecha
1163.0,1184.6039509836974,1049.0408156096073,2021-02-08
1163.0,1157.3771731563902,1211.559992932888,2021-02-08
323.0,281.0,219.0,2021-02-09
1169.0,1081.0,1032.0,2021-02-10
284.0,862.0,850.0,2021-02-11
2125.0,2001.0,1969.0,2021-02-12
1294.0,1551.0,1592.0,2021-02-13
1997.0,1056.0,1065.0,2021-02-14
1689.0,249.0,0.0,2021-02-15
474.0,1151.0,112.0,2021-02-16
362.0,203.0,925.0,2021-02-17
137.0,2110.0,740.0,2021-02-18
1625.0,1145.0,1856.0,2021-02-19
1395.0,1916.0,1475.0,2021-02-20
1805.0,1551.0,950.0,2021-02-21
1570.0,785.0,2148.0,2021-02-22
1570.0,417.0,2148.0,2021-02-22
