truth,pred,pred_sir,fecha
208.0,223.27196493029638,199.44147242779508,2021-11-01
208.0,205.31070419912655,220.2909915138947,2021-11-01
344.0,0.0,326.0,2021-11-02
622.0,130.0,15.0,2021-11-03
216.0,0.0,0.0,2021-11-04
169.0,16.0,0.0,2021-11-05
280.0,194.0,239.0,2021-11-06
473.0,0.0,218.0,2021-11-07
233.0,344.0,0.0,2021-11-08
352.0,0.0,326.0,2021-11-09
748.0,216.0,0.0,2021-11-10
174.0,0.0,0.0,2021-11-11
344.0,280.0,0.0,2021-11-12
374.0,0.0,149.0,2021-11-13
520.0,233.0,129.0,2021-11-14
278.0,0.0,0.0,2021-11-15
278.0,352.0,0.0,2021-11-15
