truth,pred,pred_sir,fecha
1558.0,1583.0021205610542,1643.6525392446506,2021-06-28
1558.0,1696.3605165389956,1413.633045808109,2021-06-28
223.0,1886.0,1577.0,2021-06-29
2032.0,0.0,590.0,2021-06-30
1210.0,1917.0,1499.0,2021-07-01
2562.0,0.0,1209.0,2021-07-02
2398.0,2103.0,1593.0,2021-07-03
2975.0,0.0,1052.0,2021-07-04
2513.0,223.0,0.0,2021-07-05
386.0,1326.0,1050.0,2021-07-06
2267.0,0.0,72.0,2021-07-07
3752.0,2562.0,999.0,2021-07-08
4332.0,0.0,724.0,2021-07-09
4338.0,2975.0,1131.0,2021-07-10
4686.0,0.0,608.0,2021-07-11
4243.0,386.0,0.0,2021-07-12
4243.0,0.0,0.0,2021-07-12
