truth,pred,pred_sir,fecha
12199.0,12103.970324688047,13260.704617367479,2021-01-25
12199.0,13137.749213446028,12691.784936686488,2021-01-25
6679.0,8589.0,5702.0,2021-01-26
6361.0,11774.0,10555.0,2021-01-27
13158.0,14642.0,15006.0,2021-01-28
17487.0,10654.0,12627.0,2021-01-29
13967.0,11032.0,11179.0,2021-01-30
12258.0,6713.0,7292.0,2021-01-31
11181.0,3326.0,0.0,2021-02-01
5596.0,4690.0,975.0,2021-02-02
6105.0,10790.0,6114.0,2021-02-03
9687.0,12022.0,10860.0,2021-02-04
14214.0,7831.0,8754.0,2021-02-05
12892.0,8232.0,7576.0,2021-02-06
10472.0,6900.0,3935.0,2021-02-07
8612.0,4653.0,0.0,2021-02-08
8612.0,3139.0,0.0,2021-02-08
