truth,pred,pred_sir,fecha
730.0,691.4516762452693,679.3521469380155,2020-12-28
761.0,890.0,1066.0,2020-12-29
1537.0,832.0,1037.0,2020-12-30
1712.0,827.0,974.0,2020-12-31
1616.0,936.0,1037.0,2021-01-01
1743.0,1192.0,1261.0,2021-01-02
3390.0,603.0,682.0,2021-01-03
4953.0,696.0,1320.0,2021-01-04
6099.0,1462.0,972.0,2021-01-05
5317.0,1552.0,921.0,2021-01-06
7823.0,1444.0,843.0,2021-01-07
6498.0,1581.0,891.0,2021-01-08
8226.0,3210.0,1106.0,2021-01-09
4838.0,4575.0,517.0,2021-01-10
6881.0,5534.0,1150.0,2021-01-11
6881.0,4121.0,1150.0,2021-01-11
