truth,pred,pred_sir,fecha
166.0,181.8980517699655,162.55332739184465,2021-07-26
166.0,169.38453077735534,151.50385095102178,2021-07-26
120.0,0.0,119.0,2021-07-27
190.0,144.0,181.0,2021-07-28
326.0,0.0,140.0,2021-07-29
404.0,214.0,162.0,2021-07-30
363.0,0.0,113.0,2021-07-31
364.0,166.0,81.0,2021-08-01
211.0,0.0,330.0,2021-08-02
229.0,190.0,46.0,2021-08-03
384.0,0.0,117.0,2021-08-04
533.0,404.0,92.0,2021-08-05
477.0,0.0,115.0,2021-08-06
562.0,364.0,66.0,2021-08-07
488.0,0.0,35.0,2021-08-08
417.0,229.0,282.0,2021-08-09
417.0,0.0,282.0,2021-08-09
