truth,pred,pred_sir,fecha
3994.0,4019.2162965272287,4109.936660617042,2021-01-25
3994.0,4346.231123506657,4054.416497401352,2021-01-25
3924.0,3931.0,3233.0,2021-01-26
4762.0,3972.0,3699.0,2021-01-27
4687.0,3935.0,3688.0,2021-01-28
4346.0,3566.0,3372.0,2021-01-29
4202.0,3218.0,2897.0,2021-01-30
3742.0,2532.0,2150.0,2021-01-31
3203.0,2776.0,0.0,2021-02-01
3479.0,3482.0,1479.0,2021-02-02
3845.0,3084.0,2076.0,2021-02-03
3895.0,2930.0,2200.0,2021-02-04
4019.0,2860.0,2006.0,2021-02-05
3773.0,2435.0,1651.0,2021-02-06
3680.0,2094.0,1011.0,2021-02-07
2120.0,3359.0,0.0,2021-02-08
2120.0,1957.0,0.0,2021-02-08
