truth,pred,pred_sir,fecha
270.0,283.5185320998911,258.54302315556396,2021-10-04
270.0,269.7284674482133,253.05542614008306,2021-10-04
444.0,0.0,499.0,2021-10-05
551.0,498.0,355.0,2021-10-06
449.0,0.0,377.0,2021-10-07
467.0,431.0,283.0,2021-10-08
426.0,0.0,105.0,2021-10-09
184.0,270.0,124.0,2021-10-10
260.0,0.0,0.0,2021-10-11
152.0,551.0,347.0,2021-10-12
875.0,0.0,207.0,2021-10-13
379.0,467.0,236.0,2021-10-14
339.0,0.0,148.0,2021-10-15
401.0,184.0,0.0,2021-10-16
312.0,0.0,2.0,2021-10-17
199.0,152.0,0.0,2021-10-18
199.0,0.0,0.0,2021-10-18
