truth,pred,pred_sir,fecha
3862.0,4074.258499271273,3821.451657039164,2021-12-13
3862.0,3986.20080797691,4066.402537664616,2021-12-13
2310.0,0.0,3343.0,2021-12-14
3575.0,5261.0,4653.0,2021-12-15
5783.0,0.0,2297.0,2021-12-16
5125.0,3722.0,1930.0,2021-12-17
4631.0,0.0,3367.0,2021-12-18
5044.0,3862.0,1620.0,2021-12-19
4253.0,0.0,0.0,2021-12-20
2744.0,3575.0,944.0,2021-12-21
5748.0,0.0,2392.0,2021-12-22
8929.0,5125.0,210.0,2021-12-23
10537.0,0.0,50.0,2021-12-24
12935.0,5044.0,1707.0,2021-12-25
10005.0,0.0,185.0,2021-12-26
3727.0,2744.0,0.0,2021-12-27
3727.0,0.0,0.0,2021-12-27
