truth,pred,pred_sir,fecha
377.0,350.655732222904,384.0747894177985,2021-02-08
377.0,379.83680101607274,354.259868780267,2021-02-08
175.0,1482.0,1385.0,2021-02-09
280.0,1163.0,1361.0,2021-02-10
1355.0,856.0,942.0,2021-02-11
1288.0,632.0,622.0,2021-02-12
911.0,629.0,544.0,2021-02-13
936.0,234.0,147.0,2021-02-14
257.0,121.0,0.0,2021-02-15
216.0,252.0,1132.0,2021-02-16
687.0,1297.0,1104.0,2021-02-17
1040.0,988.0,690.0,2021-02-18
817.0,682.0,373.0,2021-02-19
863.0,779.0,303.0,2021-02-20
903.0,77.0,0.0,2021-02-21
364.0,223.0,0.0,2021-02-22
364.0,165.0,0.0,2021-02-22
