truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-07-12
0.0,0.0,0.0,2021-07-12
33753.0,0.0,13624.0,2021-07-13
43760.0,17213.0,16381.0,2021-07-14
26192.0,0.0,14436.0,2021-07-15
27494.0,21708.0,18117.0,2021-07-16
30862.0,0.0,0.0,2021-07-17
0.0,0.0,0.0,2021-07-18
0.0,33753.0,22722.0,2021-07-19
61434.0,0.0,7656.0,2021-07-20
27147.0,26192.0,10334.0,2021-07-21
30446.0,0.0,8397.0,2021-07-22
29393.0,30862.0,12210.0,2021-07-23
31028.0,0.0,0.0,2021-07-24
0.0,0.0,0.0,2021-07-25
0.0,61434.0,16485.0,2021-07-26
0.0,0.0,16485.0,2021-07-26
