truth,pred,pred_sir,fecha
7.0,6.6280083047497556,7.2780819311874225,2021-02-22
7.0,7.005176227254124,6.336032885816361,2021-02-22
2.0,9372.0,9771.0,2021-02-23
10854.0,5848.0,4536.0,2021-02-24
5267.0,5704.0,5149.0,2021-02-25
4877.0,4903.0,4322.0,2021-02-26
4718.0,725.0,169.0,2021-02-27
0.0,115.0,134.0,2021-02-28
0.0,19.0,3296.0,2021-03-01
7.0,10856.0,9826.0,2021-03-02
11731.0,6892.0,4547.0,2021-03-03
6091.0,5766.0,5121.0,2021-03-04
4776.0,5452.0,4255.0,2021-03-05
4741.0,654.0,70.0,2021-03-06
0.0,79.0,1.0,2021-03-07
0.0,8.0,0.0,2021-03-08
0.0,8.0,0.0,2021-03-08
