truth,pred,pred_sir,fecha
5.0,5.344093711958584,5.293751249692653,2021-02-08
5.0,5.164678723381329,5.478228931117779,2021-02-08
3284.0,1414.0,1510.0,2021-02-09
1380.0,1644.0,1671.0,2021-02-10
1609.0,1582.0,1596.0,2021-02-11
1364.0,1403.0,1398.0,2021-02-12
1262.0,0.0,0.0,2021-02-13
5.0,5.0,0.0,2021-02-14
9.0,3283.0,0.0,2021-02-15
2489.0,870.0,1264.0,2021-02-16
1085.0,1472.0,1418.0,2021-02-17
1261.0,1133.0,1343.0,2021-02-18
1223.0,1076.0,1145.0,2021-02-19
1029.0,0.0,0.0,2021-02-20
7.0,9.0,0.0,2021-02-21
12.0,2489.0,2974.0,2021-02-22
12.0,1967.0,2974.0,2021-02-22
