truth,pred,pred_sir,fecha
15562.0,14829.202887114441,16415.524934995057,2021-04-19
15562.0,15425.522293990787,15774.993822458784,2021-04-19
19856.0,2356.0,0.0,2021-04-20
19856.0,19730.0,0.0,2021-04-20
27616.0,0.0,6103.0,2021-04-21
27616.0,23622.0,6103.0,2021-04-21
24094.0,0.0,4551.0,2021-04-22
24094.0,23446.0,4551.0,2021-04-22
24901.0,0.0,269.0,2021-04-23
24901.0,28374.0,269.0,2021-04-23
25534.0,0.0,831.0,2021-04-24
25534.0,18442.0,831.0,2021-04-24
18982.0,0.0,4540.0,2021-04-25
18982.0,15562.0,4540.0,2021-04-25
14062.0,0.0,0.0,2021-04-26
14062.0,19856.0,0.0,2021-04-26
18194.0,0.0,0.0,2021-04-27
23747.0,24094.0,0.0,2021-04-28
22129.0,0.0,0.0,2021-04-29
24443.0,25534.0,7147.0,2021-04-30
21092.0,0.0,0.0,2021-05-01
15300.0,14062.0,1057.0,2021-05-02
10894.0,0.0,0.0,2021-05-03
