truth,pred,pred_sir,fecha
1341.0,1292.1830887134645,1318.0053351288345,2021-01-25
1341.0,1224.104358520744,1392.6210224150393,2021-01-25
1169.0,850.0,731.0,2021-01-26
1169.0,700.0,731.0,2021-01-26
849.0,1520.0,1080.0,2021-01-27
849.0,1097.0,1080.0,2021-01-27
1322.0,1489.0,1712.0,2021-01-28
1322.0,1142.0,1712.0,2021-01-28
1477.0,1337.0,1271.0,2021-01-29
1477.0,1526.0,1271.0,2021-01-29
1375.0,1513.0,699.0,2021-01-30
1375.0,1227.0,699.0,2021-01-30
1331.0,1149.0,994.0,2021-01-31
1331.0,943.0,994.0,2021-01-31
1375.0,1023.0,0.0,2021-02-01
1375.0,816.0,0.0,2021-02-01
990.0,555.0,78.0,2021-02-02
1023.0,1123.0,750.0,2021-02-03
1118.0,1075.0,788.0,2021-02-04
1528.0,991.0,880.0,2021-02-05
1408.0,978.0,942.0,2021-02-06
1161.0,1028.0,652.0,2021-02-07
1328.0,1345.6893462372664,1265.6874487935168,2021-02-08
1328.0,1334.1746830007555,1220.1505996574422,2021-02-08
1116.0,717.0,0.0,2021-02-09
1116.0,714.0,0.0,2021-02-09
969.0,806.0,420.0,2021-02-10
969.0,773.0,420.0,2021-02-10
1207.0,1192.0,484.0,2021-02-11
1207.0,1020.0,484.0,2021-02-11
1448.0,967.0,599.0,2021-02-12
1448.0,998.0,599.0,2021-02-12
1639.0,739.0,892.0,2021-02-13
1639.0,844.0,892.0,2021-02-13
1532.0,966.0,410.0,2021-02-14
1532.0,922.0,410.0,2021-02-14
1251.0,723.0,0.0,2021-02-15
1251.0,814.0,0.0,2021-02-15
