truth,pred,pred_sir,fecha
1683.0,1556.377806227122,1800.139569989864,2021-02-08
1683.0,1786.443561506839,1706.2593086176723,2021-02-08
864.0,1384.0,0.0,2021-02-09
864.0,1155.0,0.0,2021-02-09
1772.0,2443.0,1153.0,2021-02-10
1772.0,1866.0,1153.0,2021-02-10
2530.0,1427.0,759.0,2021-02-11
2530.0,1637.0,759.0,2021-02-11
2043.0,1568.0,665.0,2021-02-12
2043.0,1604.0,665.0,2021-02-12
1991.0,1441.0,1742.0,2021-02-13
1991.0,1499.0,1742.0,2021-02-13
1798.0,952.0,189.0,2021-02-14
1798.0,1218.0,189.0,2021-02-14
1521.0,248.0,0.0,2021-02-15
1521.0,737.0,0.0,2021-02-15
863.0,1388.0,498.0,2021-02-16
1690.0,1804.0,1790.0,2021-02-17
2596.0,1101.0,1101.0,2021-02-18
2349.0,1412.0,1227.0,2021-02-19
3369.0,1050.0,1127.0,2021-02-20
2594.0,961.0,479.0,2021-02-21
2104.0,2064.942731472701,1922.7054716875223,2021-02-22
2104.0,2187.0780277392323,2084.4507608709314,2021-02-22
1132.0,1198.0,0.0,2021-02-23
1132.0,1797.0,0.0,2021-02-23
2094.0,1602.0,1268.0,2021-02-24
2094.0,2738.0,1268.0,2021-02-24
3059.0,2587.0,2633.0,2021-02-25
3059.0,910.0,2633.0,2021-02-25
3039.0,2862.0,793.0,2021-02-26
3039.0,3608.0,793.0,2021-02-26
2710.0,564.0,727.0,2021-02-27
2710.0,2636.0,727.0,2021-02-27
2733.0,602.0,109.0,2021-02-28
2733.0,2144.0,109.0,2021-02-28
2112.0,1263.0,2872.0,2021-03-01
2112.0,395.0,2872.0,2021-03-01
