truth,pred,pred_sir,fecha
129.0,133.2074176399826,122.89371731981849,2021-01-25
129.0,116.63279578621581,135.66616926897245,2021-01-25
787.0,483.0,895.0,2021-01-26
787.0,375.0,895.0,2021-01-26
833.0,423.0,601.0,2021-01-27
833.0,332.0,601.0,2021-01-27
607.0,393.0,471.0,2021-01-28
607.0,305.0,471.0,2021-01-28
564.0,457.0,443.0,2021-01-29
564.0,492.0,443.0,2021-01-29
703.0,184.0,0.0,2021-01-30
703.0,199.0,0.0,2021-01-30
352.0,95.0,0.0,2021-01-31
352.0,94.0,0.0,2021-01-31
138.0,771.0,0.0,2021-02-01
138.0,503.0,0.0,2021-02-01
839.0,647.0,303.0,2021-02-02
982.0,368.0,248.0,2021-02-03
725.0,428.0,217.0,2021-02-04
881.0,545.0,345.0,2021-02-05
907.0,151.0,51.0,2021-02-06
496.0,82.0,0.0,2021-02-07
187.0,180.26864144076032,182.641549642029,2021-02-08
187.0,190.30306004690487,199.38121222583356,2021-02-08
1117.0,776.0,215.0,2021-02-09
1117.0,714.0,215.0,2021-02-09
1209.0,463.0,166.0,2021-02-10
1209.0,566.0,166.0,2021-02-10
906.0,674.0,140.0,2021-02-11
906.0,650.0,140.0,2021-02-11
1066.0,670.0,274.0,2021-02-12
1066.0,678.0,274.0,2021-02-12
963.0,264.0,336.0,2021-02-13
963.0,400.0,336.0,2021-02-13
499.0,42.0,0.0,2021-02-14
499.0,172.0,0.0,2021-02-14
167.0,1054.0,0.0,2021-02-15
167.0,756.0,0.0,2021-02-15
