truth,pred,pred_sir,fecha
2368.0,2596.1943990179248,2357.7561774141386,2021-02-08
2368.0,2366.7645507001666,2434.054183766436,2021-02-08
3394.0,1554.0,1434.0,2021-02-09
3394.0,2281.0,1434.0,2021-02-09
2805.0,1800.0,2108.0,2021-02-10
2805.0,2100.0,2108.0,2021-02-10
3408.0,2301.0,2218.0,2021-02-11
3408.0,2168.0,2218.0,2021-02-11
3259.0,2223.0,2174.0,2021-02-12
3259.0,2181.0,2174.0,2021-02-12
3166.0,1242.0,2028.0,2021-02-13
3166.0,1853.0,2028.0,2021-02-13
2415.0,1134.0,775.0,2021-02-14
2415.0,1610.0,775.0,2021-02-14
2157.0,2310.0,0.0,2021-02-15
2157.0,1832.0,0.0,2021-02-15
1950.0,1559.0,1726.0,2021-02-16
3853.0,2344.0,1757.0,2021-02-17
2800.0,1657.0,2124.0,2021-02-18
3420.0,2031.0,2217.0,2021-02-19
3085.0,1020.0,1271.0,2021-02-20
2484.0,1455.0,955.0,2021-02-21
2353.0,2291.1559156445983,2182.125267855243,2021-02-22
2353.0,2504.588605241212,2207.042427341438,2021-02-22
3526.0,2532.0,1033.0,2021-02-23
3526.0,3727.0,1033.0,2021-02-23
2922.0,209.0,1103.0,2021-02-24
2922.0,2789.0,1103.0,2021-02-24
2985.0,3276.0,3907.0,2021-02-25
2985.0,1137.0,3907.0,2021-02-25
3080.0,2291.0,1647.0,2021-02-26
3080.0,2959.0,1647.0,2021-02-26
3007.0,413.0,736.0,2021-02-27
3007.0,2460.0,736.0,2021-02-27
2399.0,630.0,452.0,2021-02-28
2399.0,2317.0,452.0,2021-02-28
2037.0,3393.0,6763.0,2021-03-01
2037.0,1144.0,6763.0,2021-03-01
