truth,pred,pred_sir,fecha
640.0,609.2060882362055,623.8480816553679,2021-01-11
640.0,651.2127533051378,610.9212035103318,2021-01-11
218.0,1000.0,809.0,2021-01-12
218.0,1025.0,809.0,2021-01-12
743.0,1854.0,1978.0,2021-01-13
743.0,1556.0,1978.0,2021-01-13
1121.0,499.0,1453.0,2021-01-14
1121.0,466.0,1453.0,2021-01-14
956.0,1070.0,879.0,2021-01-15
956.0,897.0,879.0,2021-01-15
678.0,1372.0,0.0,2021-01-16
678.0,1159.0,0.0,2021-01-16
705.0,605.0,0.0,2021-01-17
705.0,535.0,0.0,2021-01-17
306.0,126.0,0.0,2021-01-18
306.0,214.0,0.0,2021-01-18
113.0,707.0,538.0,2021-01-19
419.0,1003.0,1375.0,2021-01-20
791.0,790.0,48.0,2021-01-21
613.0,548.0,577.0,2021-01-22
484.0,616.0,871.0,2021-01-23
427.0,201.0,126.0,2021-01-24
248.0,241.5942988412073,232.97389229720773,2021-01-25
248.0,246.00885183429799,225.41277014220407,2021-01-25
71.0,405.0,315.0,2021-01-26
71.0,277.0,315.0,2021-01-26
374.0,746.0,1161.0,2021-01-27
374.0,532.0,1161.0,2021-01-27
764.0,527.0,0.0,2021-01-28
764.0,427.0,0.0,2021-01-28
545.0,334.0,399.0,2021-01-29
545.0,430.0,399.0,2021-01-29
474.0,357.0,683.0,2021-01-30
474.0,302.0,683.0,2021-01-30
497.0,199.0,0.0,2021-01-31
497.0,179.0,0.0,2021-01-31
296.0,41.0,0.0,2021-02-01
296.0,56.0,0.0,2021-02-01
