truth,pred,pred_sir,fecha
8413.0,8983.719617112409,7971.724396453914,2021-01-11
8413.0,8417.020501171432,9157.691164851738,2021-01-11
4232.0,11304.0,11925.0,2021-01-12
4232.0,11280.0,11925.0,2021-01-12
9262.0,15604.0,7431.0,2021-01-13
9262.0,12571.0,7431.0,2021-01-13
10706.0,15808.0,10583.0,2021-01-14
10706.0,12866.0,10583.0,2021-01-14
10791.0,12731.0,736.0,2021-01-15
10791.0,10819.0,736.0,2021-01-15
8028.0,11205.0,0.0,2021-01-16
8028.0,9448.0,0.0,2021-01-16
9229.0,6686.0,0.0,2021-01-17
9229.0,6203.0,0.0,2021-01-17
5169.0,2179.0,0.0,2021-01-18
5169.0,3835.0,0.0,2021-01-18
2615.0,8004.0,8180.0,2021-01-19
7565.0,8070.0,12062.0,2021-01-20
9523.0,8117.0,11971.0,2021-01-21
8105.0,5318.0,8517.0,2021-01-22
7326.0,7445.0,5775.0,2021-01-23
8321.0,2655.0,978.0,2021-01-24
4188.0,4300.2364716309285,4495.641606015361,2021-01-25
4188.0,4556.7196358035535,4398.040648316009,2021-01-25
2336.0,6990.0,4708.0,2021-01-26
2336.0,3997.0,4708.0,2021-01-26
6869.0,8196.0,8717.0,2021-01-27
6869.0,5331.0,8717.0,2021-01-27
9097.0,6325.0,8875.0,2021-01-28
9097.0,4865.0,8875.0,2021-01-28
8410.0,4830.0,4510.0,2021-01-29
8410.0,5703.0,4510.0,2021-01-29
7850.0,6395.0,3072.0,2021-01-30
7850.0,5012.0,3072.0,2021-01-30
7941.0,2473.0,0.0,2021-01-31
7941.0,2901.0,0.0,2021-01-31
4009.0,1336.0,0.0,2021-02-01
4009.0,1637.0,0.0,2021-02-01
