truth,pred,pred_sir,fecha
845.0,885.5403821131181,912.2725383691213,2021-04-19
845.0,874.1664106091122,849.8908480062192,2021-04-19
723.0,0.0,480.0,2021-04-20
723.0,401.0,480.0,2021-04-20
389.0,0.0,6.0,2021-04-21
389.0,588.0,6.0,2021-04-21
506.0,0.0,0.0,2021-04-22
506.0,688.0,0.0,2021-04-22
529.0,0.0,68.0,2021-04-23
529.0,464.0,68.0,2021-04-23
590.0,0.0,131.0,2021-04-24
590.0,662.0,131.0,2021-04-24
487.0,0.0,538.0,2021-04-25
487.0,845.0,538.0,2021-04-25
606.0,0.0,0.0,2021-04-26
606.0,723.0,0.0,2021-04-26
700.0,0.0,0.0,2021-04-27
604.0,506.0,0.0,2021-04-28
427.0,0.0,0.0,2021-04-29
498.0,590.0,0.0,2021-04-30
0.0,0.0,21.0,2021-05-01
1220.0,606.0,370.0,2021-05-02
478.0,0.0,0.0,2021-05-03
726.0,604.0,0.0,2021-05-04
481.0,0.0,0.0,2021-05-05
0.0,498.0,0.0,2021-05-06
1435.0,0.0,0.0,2021-05-07
595.0,1220.0,0.0,2021-05-08
229.0,0.0,246.0,2021-05-09
693.0,726.0,0.0,2021-05-10
