truth,pred,pred_sir,fecha
3053.0,3061.8614810582208,2972.3565806759175,2021-01-25
3053.0,3026.4510456049775,2953.763689305245,2021-01-25
273.0,892.0,685.0,2021-01-26
273.0,559.0,685.0,2021-01-26
567.0,1606.0,946.0,2021-01-27
567.0,1080.0,946.0,2021-01-27
1376.0,1620.0,638.0,2021-01-28
1376.0,1200.0,638.0,2021-01-28
2456.0,468.0,635.0,2021-01-29
2456.0,851.0,635.0,2021-01-29
667.0,865.0,773.0,2021-01-30
667.0,699.0,773.0,2021-01-30
3080.0,2903.0,277.0,2021-01-31
3080.0,1882.0,277.0,2021-01-31
1046.0,0.0,0.0,2021-02-01
1046.0,273.0,0.0,2021-02-01
150.0,456.0,262.0,2021-02-02
288.0,1192.0,1082.0,2021-02-03
1101.0,1975.0,1184.0,2021-02-04
936.0,0.0,271.0,2021-02-05
2060.0,3080.0,370.0,2021-02-06
1689.0,0.0,2362.0,2021-02-07
1163.0,1272.4368331304245,1077.7380118240276,2021-02-08
1163.0,1069.2165995092898,1126.5729161167671,2021-02-08
323.0,252.0,0.0,2021-02-09
323.0,184.0,0.0,2021-02-09
1169.0,1026.0,755.0,2021-02-10
1169.0,679.0,755.0,2021-02-10
284.0,662.0,874.0,2021-02-11
284.0,664.0,874.0,2021-02-11
2125.0,1792.0,0.0,2021-02-12
2125.0,1323.0,0.0,2021-02-12
1294.0,1145.0,1401.0,2021-02-13
1294.0,1226.0,1401.0,2021-02-13
1997.0,667.0,2095.0,2021-02-14
1997.0,888.0,2095.0,2021-02-14
1689.0,0.0,0.0,2021-02-15
1689.0,323.0,0.0,2021-02-15
