truth,pred,pred_sir,fecha
468.0,484.0414936035263,453.46561672234753,2021-01-11
468.0,488.00857888317756,481.0278937674968,2021-01-11
306.0,356.0,402.0,2021-01-12
306.0,401.0,402.0,2021-01-12
228.0,630.0,574.0,2021-01-13
228.0,510.0,574.0,2021-01-13
872.0,966.0,577.0,2021-01-14
872.0,766.0,577.0,2021-01-14
648.0,818.0,460.0,2021-01-15
648.0,693.0,460.0,2021-01-15
486.0,503.0,337.0,2021-01-16
486.0,459.0,337.0,2021-01-16
551.0,400.0,271.0,2021-01-17
551.0,351.0,271.0,2021-01-17
386.0,203.0,0.0,2021-01-18
386.0,275.0,0.0,2021-01-18
168.0,147.0,301.0,2021-01-19
604.0,829.0,529.0,2021-01-20
513.0,403.0,867.0,2021-01-21
561.0,366.0,744.0,2021-01-22
60.0,441.0,403.0,2021-01-23
116.0,252.0,261.0,2021-01-24
417.0,408.5900395142481,411.30879464637025,2021-01-25
417.0,426.5516101641807,381.1415186580634,2021-01-25
191.0,566.0,191.0,2021-01-26
191.0,321.0,191.0,2021-01-26
8.0,413.0,420.0,2021-01-27
8.0,306.0,420.0,2021-01-27
87.0,465.0,761.0,2021-01-28
87.0,327.0,761.0,2021-01-28
86.0,0.0,186.0,2021-01-29
86.0,60.0,186.0,2021-01-29
0.0,96.0,302.0,2021-01-30
0.0,66.0,302.0,2021-01-30
0.0,395.0,163.0,2021-01-31
0.0,208.0,163.0,2021-01-31
267.0,119.0,0.0,2021-02-01
267.0,127.0,0.0,2021-02-01
