truth,pred,pred_sir,fecha
0.0,0.0,0.0,2020-12-28
35.0,196.0,196.0,2020-12-29
213.0,157.0,165.0,2020-12-30
109.0,61.0,66.0,2020-12-31
53.0,0.0,0.0,2021-01-01
56.0,0.0,0.0,2021-01-02
0.0,0.0,0.0,2021-01-03
35.0,35.0,0.0,2021-01-04
0.0,210.0,189.0,2021-01-05
255.0,92.0,158.0,2021-01-06
35.0,45.0,59.0,2021-01-07
390.0,52.0,0.0,2021-01-08
98.0,0.0,0.0,2021-01-09
205.0,35.0,0.0,2021-01-10
118.0,124.11906586051337,114.80325317352417,2021-01-11
118.0,118.02509087890014,115.0827840625867,2021-01-11
124.0,255.0,230.0,2021-01-12
124.0,235.0,230.0,2021-01-12
287.0,16.0,152.0,2021-01-13
287.0,31.0,152.0,2021-01-13
110.0,387.0,53.0,2021-01-14
110.0,306.0,53.0,2021-01-14
140.0,74.0,0.0,2021-01-15
140.0,82.0,0.0,2021-01-15
176.0,198.0,0.0,2021-01-16
176.0,162.0,0.0,2021-01-16
196.0,105.0,0.0,2021-01-17
196.0,95.0,0.0,2021-01-17
78.0,103.0,0.0,2021-01-18
78.0,116.0,0.0,2021-01-18
