truth,pred,pred_sir,fecha
21643.0,22100.58477824013,19979.353978728042,2021-03-08
21643.0,22629.436682318268,22238.019213833333,2021-03-08
5266.0,21460.0,17058.0,2021-03-09
5266.0,17617.0,17058.0,2021-03-09
22979.0,21676.0,28421.0,2021-03-10
22979.0,7133.0,28421.0,2021-03-10
29484.0,23331.0,24720.0,2021-03-11
29484.0,4727.0,24720.0,2021-03-11
26786.0,18576.0,16505.0,2021-03-12
26786.0,17895.0,16505.0,2021-03-12
24905.0,17558.0,23654.0,2021-03-13
24905.0,6713.0,23654.0,2021-03-13
29224.0,19821.0,23466.0,2021-03-14
29224.0,3897.0,23466.0,2021-03-14
24807.0,1757.0,0.0,2021-03-15
24807.0,4759.0,0.0,2021-03-15
6158.0,18646.0,10337.0,2021-03-16
29634.0,12439.0,13731.0,2021-03-17
37255.0,15395.0,12785.0,2021-03-18
34668.0,10765.0,10381.0,2021-03-19
34242.0,19304.0,9885.0,2021-03-20
34436.0,6910.0,9468.0,2021-03-21
29674.0,31525.292975923865,29551.651423714957,2021-03-22
29674.0,32136.129453673566,26999.47612940003,2021-03-22
15530.0,23786.0,4848.0,2021-03-23
15530.0,0.0,4848.0,2021-03-23
14217.0,37255.0,8511.0,2021-03-24
14217.0,0.0,8511.0,2021-03-24
63604.0,34668.0,7955.0,2021-03-25
63604.0,0.0,7955.0,2021-03-25
45171.0,34242.0,5872.0,2021-03-26
45171.0,0.0,5872.0,2021-03-26
40810.0,34436.0,5582.0,2021-03-27
40810.0,0.0,5582.0,2021-03-27
41939.0,29674.0,13560.0,2021-03-28
41939.0,0.0,13560.0,2021-03-28
35851.0,15530.0,0.0,2021-03-29
35851.0,0.0,0.0,2021-03-29
