truth,pred,pred_sir,fecha
16934.0,17273.400941787066,18502.756599587854,2021-01-11
16934.0,15741.173558212666,16110.725288838012,2021-01-11
12479.0,9749.0,8785.0,2021-01-12
12479.0,11047.0,8785.0,2021-01-12
12785.0,20291.0,18744.0,2021-01-13
12785.0,16554.0,18744.0,2021-01-13
19589.0,24970.0,26046.0,2021-01-14
19589.0,20605.0,26046.0,2021-01-14
25155.0,30043.0,0.0,2021-01-15
25155.0,24822.0,0.0,2021-01-15
22352.0,22451.0,33495.0,2021-01-16
22352.0,19392.0,33495.0,2021-01-16
18669.0,15164.0,7218.0,2021-01-17
18669.0,13350.0,7218.0,2021-01-17
13872.0,9323.0,0.0,2021-01-18
13872.0,11627.0,0.0,2021-01-18
7135.0,10040.0,4760.0,2021-01-19
11367.0,17220.0,14278.0,2021-01-20
15963.0,21062.0,19000.0,2021-01-21
20394.0,17313.0,24233.0,2021-01-22
17848.0,14471.0,16812.0,2021-01-23
16294.0,10307.0,9039.0,2021-01-24
12199.0,13110.403947224026,12179.21866692202,2021-01-25
12199.0,13172.385272815514,11431.726566377047,2021-01-25
6679.0,10077.0,943.0,2021-01-26
6679.0,6910.0,943.0,2021-01-26
6361.0,14199.0,10550.0,2021-01-27
6361.0,9611.0,10550.0,2021-01-27
13158.0,17906.0,15415.0,2021-01-28
13158.0,12350.0,15415.0,2021-01-28
17487.0,12267.0,13591.0,2021-01-29
17487.0,14589.0,13591.0,2021-01-29
13967.0,12376.0,13481.0,2021-01-30
13967.0,10600.0,13481.0,2021-01-30
12258.0,9285.0,5843.0,2021-01-31
12258.0,7864.0,5843.0,2021-01-31
11181.0,4472.0,0.0,2021-02-01
11181.0,4571.0,0.0,2021-02-01
