truth,pred,pred_sir,fecha
621.0,627.7869162806362,661.596211098648,2020-12-28
512.0,1032.0,912.0,2020-12-29
755.0,1766.0,1574.0,2020-12-30
1862.0,3109.0,2968.0,2020-12-31
2908.0,2299.0,2256.0,2021-01-01
2709.0,940.0,841.0,2021-01-02
1351.0,554.0,360.0,2021-01-03
1241.0,473.0,0.0,2021-01-04
799.0,722.0,652.0,2021-01-05
836.0,1813.0,1319.0,2021-01-06
1981.0,2787.0,2719.0,2021-01-07
2962.0,2522.0,2012.0,2021-01-08
2904.0,1182.0,603.0,2021-01-09
2727.0,1162.0,127.0,2021-01-10
1749.0,1827.905622228701,1587.5873246714377,2021-01-11
1749.0,1844.5338963663958,1649.961213481846,2021-01-11
1400.0,681.0,483.0,2021-01-12
1400.0,794.0,483.0,2021-01-12
623.0,1932.0,1096.0,2021-01-13
623.0,1595.0,1096.0,2021-01-13
1264.0,2866.0,2502.0,2021-01-14
1264.0,2390.0,2502.0,2021-01-14
1849.0,2760.0,1801.0,2021-01-15
1849.0,2353.0,1801.0,2021-01-15
1447.0,2585.0,398.0,2021-01-16
1447.0,2210.0,398.0,2021-01-16
1338.0,1615.0,0.0,2021-01-17
1338.0,1427.0,0.0,2021-01-17
1174.0,1116.0,0.0,2021-01-18
1174.0,1335.0,0.0,2021-01-18
