truth,pred,pred_sir,fecha
8916.0,8578.314022057057,9435.31675499328,2020-12-28
8549.0,12576.0,11438.0,2020-12-29
11190.0,13004.0,12099.0,2020-12-30
16180.0,17113.0,16166.0,2020-12-31
23452.0,17819.0,17110.0,2021-01-01
22183.0,9126.0,8409.0,2021-01-02
11803.0,8280.0,6953.0,2021-01-03
14219.0,7977.0,0.0,2021-01-04
10770.0,10644.0,9433.0,2021-01-05
15346.0,15456.0,10112.0,2021-01-06
20302.0,22399.0,14217.0,2021-01-07
18399.0,20635.0,15185.0,2021-01-08
17527.0,10362.0,6524.0,2021-01-09
19969.0,13500.0,5095.0,2021-01-10
18607.0,19407.634098087176,18823.031872096337,2021-01-11
18607.0,19369.69371763936,18304.215224089497,2021-01-11
12511.0,13218.0,13731.0,2021-01-12
12511.0,14446.0,13731.0,2021-01-12
14228.0,19319.0,8290.0,2021-01-13
14228.0,16273.0,8290.0,2021-01-13
15757.0,17279.0,12418.0,2021-01-14
15757.0,14787.0,12418.0,2021-01-14
17227.0,16503.0,13430.0,2021-01-15
17227.0,14072.0,13430.0,2021-01-15
16130.0,18992.0,4805.0,2021-01-16
16130.0,15985.0,4805.0,2021-01-16
16301.0,17487.0,3419.0,2021-01-17
16301.0,14930.0,3419.0,2021-01-17
12532.0,9372.0,0.0,2021-01-18
12532.0,11857.0,0.0,2021-01-18
