truth,pred,pred_sir,fecha
224.0,219.05177312908148,213.4167923529807,2021-04-05
224.0,243.9192321853112,207.6725698032611,2021-04-05
114.0,37.0,0.0,2021-04-06
114.0,467.0,0.0,2021-04-06
292.0,0.0,463.0,2021-04-07
292.0,572.0,463.0,2021-04-07
515.0,0.0,0.0,2021-04-08
515.0,423.0,0.0,2021-04-08
358.0,0.0,0.0,2021-04-09
358.0,387.0,0.0,2021-04-09
286.0,0.0,98.0,2021-04-10
286.0,212.0,98.0,2021-04-10
499.0,0.0,0.0,2021-04-11
499.0,224.0,0.0,2021-04-11
362.0,0.0,0.0,2021-04-12
362.0,114.0,0.0,2021-04-12
202.0,137.0,180.0,2021-04-13
489.0,329.0,297.0,2021-04-14
431.0,0.0,306.0,2021-04-15
299.0,286.0,266.0,2021-04-16
518.0,107.0,0.0,2021-04-17
611.0,214.0,0.0,2021-04-18
334.0,348.71375894731784,362.41638768953504,2021-04-19
334.0,344.99966118050054,328.8600366030969,2021-04-19
198.0,204.0,49.0,2021-04-20
198.0,0.0,49.0,2021-04-20
669.0,431.0,180.0,2021-04-21
669.0,0.0,180.0,2021-04-21
580.0,299.0,202.0,2021-04-22
580.0,0.0,202.0,2021-04-22
29.0,518.0,173.0,2021-04-23
29.0,0.0,173.0,2021-04-23
144.0,611.0,0.0,2021-04-24
144.0,0.0,0.0,2021-04-24
448.0,334.0,51.0,2021-04-25
448.0,0.0,51.0,2021-04-25
353.0,198.0,0.0,2021-04-26
353.0,0.0,0.0,2021-04-26
