truth,pred,pred_sir,fecha
1460.0,1424.9290199055172,1477.651571903256,2021-01-11
1460.0,1509.1197230264893,1397.7212714477953,2021-01-11
631.0,1762.0,1692.0,2021-01-12
631.0,1829.0,1692.0,2021-01-12
1208.0,2573.0,2710.0,2021-01-13
1208.0,2099.0,2710.0,2021-01-13
1778.0,2027.0,2474.0,2021-01-14
1778.0,1739.0,2474.0,2021-01-14
1285.0,1737.0,1785.0,2021-01-15
1285.0,1484.0,1785.0,2021-01-15
1185.0,1502.0,570.0,2021-01-16
1185.0,1281.0,570.0,2021-01-16
1145.0,1284.0,634.0,2021-01-17
1145.0,1098.0,634.0,2021-01-17
778.0,322.0,0.0,2021-01-18
778.0,587.0,0.0,2021-01-18
453.0,1045.0,1188.0,2021-01-19
831.0,1488.0,1920.0,2021-01-20
1213.0,865.0,1396.0,2021-01-21
1246.0,937.0,1047.0,2021-01-22
1024.0,873.0,732.0,2021-01-23
1016.0,523.0,500.0,2021-01-24
771.0,696.9011124590941,755.4600915600497,2021-01-25
771.0,741.4750113632886,839.184883672583,2021-01-25
483.0,742.0,755.0,2021-01-26
483.0,482.0,755.0,2021-01-26
795.0,1077.0,1504.0,2021-01-27
795.0,710.0,1504.0,2021-01-27
1306.0,1047.0,1005.0,2021-01-28
1306.0,759.0,1005.0,2021-01-28
934.0,672.0,670.0,2021-01-29
934.0,837.0,670.0,2021-01-29
846.0,784.0,385.0,2021-01-30
846.0,653.0,385.0,2021-01-30
769.0,586.0,174.0,2021-01-31
769.0,494.0,174.0,2021-01-31
788.0,338.0,0.0,2021-02-01
788.0,320.0,0.0,2021-02-01
