truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-02-08
0.0,0.0,0.0,2021-02-08
371.0,88.0,0.0,2021-02-09
371.0,154.0,0.0,2021-02-09
155.0,148.0,122.0,2021-02-10
155.0,152.0,122.0,2021-02-10
233.0,140.0,28.0,2021-02-11
233.0,146.0,28.0,2021-02-11
167.0,125.0,18.0,2021-02-12
167.0,134.0,18.0,2021-02-12
148.0,0.0,0.0,2021-02-13
148.0,5.0,0.0,2021-02-13
0.0,0.0,0.0,2021-02-14
0.0,0.0,0.0,2021-02-14
0.0,371.0,0.0,2021-02-15
0.0,240.0,0.0,2021-02-15
209.0,69.0,107.0,2021-02-16
0.0,208.0,126.0,2021-02-17
92.0,92.0,113.0,2021-02-18
62.0,114.0,96.0,2021-02-19
35.0,0.0,0.0,2021-02-20
0.0,0.0,0.0,2021-02-21
0.0,0.0,0.0,2021-02-22
0.0,0.0,0.0,2021-02-22
267.0,0.0,65.0,2021-02-23
267.0,0.0,65.0,2021-02-23
50.0,92.0,87.0,2021-02-24
50.0,116.0,87.0,2021-02-24
202.0,92.0,269.0,2021-02-25
202.0,26.0,269.0,2021-02-25
60.0,24.0,64.0,2021-02-26
60.0,41.0,64.0,2021-02-26
112.0,0.0,0.0,2021-02-27
112.0,0.0,0.0,2021-02-27
0.0,0.0,0.0,2021-02-28
0.0,0.0,0.0,2021-02-28
0.0,267.0,639.0,2021-03-01
0.0,156.0,639.0,2021-03-01
