truth,pred,pred_sir,fecha
5410.0,5908.599156186138,4939.461428969821,2021-01-11
5410.0,4917.225942088652,5857.172851269132,2021-01-11
4859.0,5692.0,5813.0,2021-01-12
4859.0,6576.0,5813.0,2021-01-12
6064.0,9014.0,7589.0,2021-01-13
6064.0,7453.0,7589.0,2021-01-13
6447.0,7442.0,7441.0,2021-01-14
6447.0,6333.0,7441.0,2021-01-14
5969.0,6793.0,5717.0,2021-01-15
5969.0,5740.0,5717.0,2021-01-15
5222.0,6119.0,4866.0,2021-01-16
5222.0,5175.0,4866.0,2021-01-16
5566.0,4946.0,3184.0,2021-01-17
5566.0,4234.0,3184.0,2021-01-17
4723.0,3855.0,0.0,2021-01-18
4723.0,4520.0,0.0,2021-01-18
4255.0,4997.0,4073.0,2021-01-19
5501.0,5269.0,6505.0,2021-01-20
5771.0,4728.0,4934.0,2021-01-21
5750.0,4110.0,4138.0,2021-01-22
5362.0,4602.0,3282.0,2021-01-23
4842.0,3646.0,2099.0,2021-01-24
3994.0,3838.2713026522542,4040.3203356069744,2021-01-25
3994.0,4379.3769725409675,3914.478289547056,2021-01-25
3924.0,4845.0,2570.0,2021-01-26
3924.0,3494.0,2570.0,2021-01-26
4762.0,4969.0,5056.0,2021-01-27
4762.0,3719.0,5056.0,2021-01-27
4687.0,4901.0,3569.0,2021-01-28
4687.0,3731.0,3569.0,2021-01-28
4346.0,3828.0,3712.0,2021-01-29
4346.0,4495.0,3712.0,2021-01-29
4202.0,3827.0,2060.0,2021-01-30
4202.0,3277.0,2060.0,2021-01-30
3742.0,3260.0,948.0,2021-01-31
3742.0,2667.0,948.0,2021-01-31
3203.0,3332.0,0.0,2021-02-01
3203.0,2575.0,0.0,2021-02-01
