truth,pred,pred_sir,fecha
168.0,158.2513119220368,155.6454706750629,2021-02-22
168.0,157.69273942714509,174.23169610268076,2021-02-22
172.0,26.0,66.0,2021-02-23
172.0,241.0,66.0,2021-02-23
363.0,155.0,78.0,2021-02-24
363.0,325.0,78.0,2021-02-24
309.0,244.0,422.0,2021-02-25
309.0,100.0,422.0,2021-02-25
524.0,188.0,50.0,2021-02-26
524.0,237.0,50.0,2021-02-26
500.0,1.0,0.0,2021-02-27
500.0,196.0,0.0,2021-02-27
225.0,1.0,0.0,2021-02-28
225.0,167.0,0.0,2021-02-28
51.0,128.0,1002.0,2021-03-01
51.0,54.0,1002.0,2021-03-01
605.0,347.0,460.0,2021-03-02
401.0,205.0,576.0,2021-03-03
570.0,462.0,528.0,2021-03-04
450.0,360.0,502.0,2021-03-05
578.0,114.0,436.0,2021-03-06
245.0,13.0,428.0,2021-03-07
184.0,167.4215905888073,169.34824984113436,2021-03-08
184.0,170.53758988128098,177.24871325125935,2021-03-08
621.0,391.0,462.0,2021-03-09
621.0,248.0,462.0,2021-03-09
506.0,472.0,700.0,2021-03-10
506.0,90.0,700.0,2021-03-10
477.0,414.0,656.0,2021-03-11
477.0,28.0,656.0,2021-03-11
664.0,549.0,619.0,2021-03-12
664.0,357.0,619.0,2021-03-12
693.0,99.0,571.0,2021-03-13
693.0,143.0,571.0,2021-03-13
635.0,122.0,567.0,2021-03-14
635.0,53.0,567.0,2021-03-14
473.0,563.0,0.0,2021-03-15
473.0,344.0,0.0,2021-03-15
