truth,pred,pred_sir,fecha
1566.0,1508.7658937786946,1716.1074391792183,2020-12-28
2082.0,2294.0,2018.0,2020-12-29
3329.0,4435.0,4194.0,2020-12-30
6042.0,4059.0,3951.0,2020-12-31
7622.0,3848.0,3703.0,2021-01-01
6943.0,929.0,756.0,2021-01-02
3234.0,1500.0,1116.0,2021-01-03
3376.0,1977.0,0.0,2021-01-04
4361.0,3191.0,1555.0,2021-01-05
4948.0,5819.0,3734.0,2021-01-06
10016.0,7203.0,3499.0,2021-01-07
9916.0,6402.0,3256.0,2021-01-08
10181.0,2737.0,317.0,2021-01-09
9475.0,3163.0,683.0,2021-01-10
7497.0,7721.394948956612,8068.268492342726,2021-01-11
7497.0,7580.872970599626,7859.259698864194,2021-01-11
5591.0,4062.0,5026.0,2021-01-12
5591.0,4620.0,5026.0,2021-01-12
7250.0,9637.0,3310.0,2021-01-13
7250.0,7854.0,3310.0,2021-01-13
10546.0,9208.0,3081.0,2021-01-14
10546.0,7779.0,3081.0,2021-01-14
10686.0,9420.0,2849.0,2021-01-15
10686.0,7922.0,2849.0,2021-01-15
10654.0,8637.0,0.0,2021-01-16
10654.0,7342.0,0.0,2021-01-16
10938.0,6669.0,293.0,2021-01-17
10938.0,5813.0,293.0,2021-01-17
10378.0,4112.0,0.0,2021-01-18
10378.0,5105.0,0.0,2021-01-18
