truth,pred,pred_sir,fecha
1033.0,1094.7637236840899,945.8133161731454,2021-04-19
1033.0,1095.9996892080758,943.4588022398649,2021-04-19
0.0,514.0,82.0,2021-04-20
0.0,0.0,82.0,2021-04-20
685.0,747.0,602.0,2021-04-21
685.0,0.0,602.0,2021-04-21
0.0,0.0,268.0,2021-04-22
0.0,0.0,268.0,2021-04-22
0.0,0.0,429.0,2021-04-23
0.0,0.0,429.0,2021-04-23
0.0,915.0,0.0,2021-04-24
0.0,0.0,0.0,2021-04-24
0.0,1033.0,989.0,2021-04-25
0.0,0.0,989.0,2021-04-25
0.0,0.0,0.0,2021-04-26
0.0,0.0,0.0,2021-04-26
0.0,685.0,0.0,2021-04-27
0.0,0.0,0.0,2021-04-28
0.0,0.0,0.0,2021-04-29
0.0,0.0,0.0,2021-04-30
0.0,0.0,103.0,2021-05-01
0.0,0.0,628.0,2021-05-02
0.0,0.0,0.0,2021-05-03
0.0,0.0,0.0,2021-05-04
0.0,0.0,0.0,2021-05-05
0.0,0.0,0.0,2021-05-06
0.0,0.0,0.0,2021-05-07
0.0,0.0,0.0,2021-05-08
0.0,0.0,396.0,2021-05-09
0.0,0.0,0.0,2021-05-10
