truth,pred,pred_sir,fecha
492.0,497.4310780206196,483.8263008894741,2021-01-25
492.0,482.2062194929428,511.22209246492974,2021-01-25
407.0,1688.0,1230.0,2021-01-26
407.0,812.0,1230.0,2021-01-26
1591.0,1241.0,2089.0,2021-01-27
1591.0,850.0,2089.0,2021-01-27
1879.0,1005.0,1526.0,2021-01-28
1879.0,764.0,1526.0,2021-01-28
1565.0,961.0,929.0,2021-01-29
1565.0,1019.0,929.0,2021-01-29
1262.0,1089.0,339.0,2021-01-30
1262.0,860.0,339.0,2021-01-30
1331.0,134.0,0.0,2021-01-31
1331.0,411.0,0.0,2021-01-31
563.0,228.0,0.0,2021-02-01
563.0,265.0,0.0,2021-02-01
355.0,1424.0,846.0,2021-02-02
1519.0,983.0,680.0,2021-02-03
1498.0,947.0,475.0,2021-02-04
1120.0,665.0,563.0,2021-02-05
826.0,910.0,698.0,2021-02-06
772.0,0.0,0.0,2021-02-07
377.0,346.3009814653248,351.8572722837531,2021-02-08
377.0,403.4803647673113,397.4392319498652,2021-02-08
175.0,1436.0,527.0,2021-02-09
175.0,551.0,527.0,2021-02-09
280.0,1121.0,389.0,2021-02-10
280.0,742.0,389.0,2021-02-10
1355.0,612.0,212.0,2021-02-11
1355.0,709.0,212.0,2021-02-11
1288.0,342.0,324.0,2021-02-12
1288.0,597.0,324.0,2021-02-12
911.0,373.0,510.0,2021-02-13
911.0,519.0,510.0,2021-02-13
936.0,24.0,0.0,2021-02-14
936.0,360.0,0.0,2021-02-14
257.0,0.0,0.0,2021-02-15
257.0,175.0,0.0,2021-02-15
