truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-04-19
0.0,0.0,0.0,2021-04-19
20898.0,0.0,0.0,2021-04-20
20898.0,6117.0,0.0,2021-04-20
0.0,0.0,3644.0,2021-04-21
0.0,10300.0,3644.0,2021-04-21
17503.0,0.0,2037.0,2021-04-22
17503.0,9491.0,2037.0,2021-04-22
10596.0,0.0,0.0,2021-04-23
10596.0,10423.0,0.0,2021-04-23
11508.0,0.0,4261.0,2021-04-24
11508.0,0.0,4261.0,2021-04-24
0.0,0.0,0.0,2021-04-25
0.0,0.0,0.0,2021-04-25
0.0,20898.0,0.0,2021-04-26
0.0,0.0,0.0,2021-04-26
19630.0,0.0,0.0,2021-04-27
7396.0,17503.0,853.0,2021-04-28
8399.0,0.0,1297.0,2021-04-29
9881.0,11508.0,3909.0,2021-04-30
8865.0,0.0,0.0,2021-05-01
0.0,0.0,0.0,2021-05-02
0.0,19630.0,0.0,2021-05-03
16089.0,0.0,0.0,2021-05-04
4270.0,8399.0,0.0,2021-05-05
6069.0,0.0,0.0,2021-05-06
7711.0,8865.0,2610.0,2021-05-07
7938.0,0.0,0.0,2021-05-08
0.0,0.0,0.0,2021-05-09
0.0,16089.0,0.0,2021-05-10
