truth,pred,pred_sir,fecha
7.0,7.638346450991552,7.641591067378949,2021-02-22
7.0,7.4539730575845216,7.150838586340193,2021-02-22
2.0,9372.0,6326.0,2021-02-23
2.0,9220.0,6326.0,2021-02-23
10854.0,0.0,1140.0,2021-02-24
10854.0,4133.0,1140.0,2021-02-24
5267.0,4618.0,5296.0,2021-02-25
5267.0,1538.0,5296.0,2021-02-25
4877.0,2952.0,400.0,2021-02-26
4877.0,3822.0,400.0,2021-02-26
4718.0,0.0,0.0,2021-02-27
4718.0,0.0,0.0,2021-02-27
0.0,7.0,0.0,2021-02-28
0.0,6.0,0.0,2021-02-28
0.0,1.0,3945.0,2021-03-01
0.0,1.0,3945.0,2021-03-01
7.0,10853.0,10006.0,2021-03-02
11731.0,4518.0,4766.0,2021-03-03
6091.0,4479.0,5315.0,2021-03-04
4776.0,4320.0,4426.0,2021-03-05
4741.0,0.0,187.0,2021-03-06
0.0,0.0,115.0,2021-03-07
0.0,0.0,0.0,2021-03-08
0.0,0.0,0.0,2021-03-08
9.0,11730.0,10693.0,2021-03-09
9.0,10664.0,10693.0,2021-03-09
10966.0,5067.0,4665.0,2021-03-10
10966.0,2420.0,4665.0,2021-03-10
5850.0,4493.0,5212.0,2021-03-11
5850.0,1355.0,5212.0,2021-03-11
5234.0,3711.0,3553.0,2021-03-12
5234.0,4236.0,3553.0,2021-03-12
5271.0,0.0,57.0,2021-03-13
5271.0,0.0,57.0,2021-03-13
0.0,0.0,0.0,2021-03-14
0.0,0.0,0.0,2021-03-14
0.0,9.0,0.0,2021-03-15
0.0,7.0,0.0,2021-03-15
