truth,pred,pred_sir,fecha
134967.0,148010.28479576047,133579.55711010905,2021-01-25
134967.0,122617.2389910159,124643.26459720473,2021-01-25
126969.0,98694.0,82176.0,2021-01-26
126969.0,76130.0,82176.0,2021-01-26
143846.0,136117.0,104212.0,2021-01-27
143846.0,77504.0,104212.0,2021-01-27
146262.0,136856.0,123846.0,2021-01-28
146262.0,78470.0,123846.0,2021-01-28
156986.0,122401.0,130409.0,2021-01-29
156986.0,108813.0,130409.0,2021-01-29
152387.0,102059.0,87680.0,2021-01-30
152387.0,87742.0,87680.0,2021-01-30
139760.0,79597.0,35863.0,2021-01-31
139760.0,70314.0,35863.0,2021-01-31
107130.0,81054.0,0.0,2021-02-01
107130.0,59341.0,0.0,2021-02-01
123119.0,93683.0,38520.0,2021-02-02
111124.0,66577.0,75948.0,2021-02-03
115355.0,100211.0,79283.0,2021-02-04
114220.0,65950.0,82767.0,2021-02-05
118313.0,82109.0,72406.0,2021-02-06
103641.0,34174.0,40607.0,2021-02-07
82118.0,80174.32847340593,88449.66958840538,2021-02-08
82118.0,76337.52805298625,87439.08370786268,2021-02-08
79668.0,74815.0,157.0,2021-02-09
79668.0,40532.0,157.0,2021-02-09
87812.0,76597.0,40909.0,2021-02-10
87812.0,42048.0,40909.0,2021-02-10
86072.0,73631.0,47721.0,2021-02-11
86072.0,43415.0,47721.0,2021-02-11
94953.0,75984.0,54162.0,2021-02-12
94953.0,44118.0,54162.0,2021-02-12
87355.0,60056.0,76374.0,2021-02-13
87355.0,43228.0,76374.0,2021-02-13
78220.0,37984.0,16849.0,2021-02-14
78220.0,43008.0,16849.0,2021-02-14
61244.0,34331.0,0.0,2021-02-15
61244.0,43067.0,0.0,2021-02-15
