truth,pred,pred_sir,fecha
6540.0,6159.210796972044,6096.992849393575,2021-07-12
6540.0,6740.265689708742,6217.305416122035,2021-07-12
13493.0,10453.0,17185.0,2021-07-13
17098.0,7123.0,14060.0,2021-07-14
16717.0,10338.0,13060.0,2021-07-15
14162.0,2283.0,7707.0,2021-07-16
14376.0,6604.0,4286.0,2021-07-17
9239.0,391.0,2019.0,2021-07-18
4664.0,13128.0,0.0,2021-07-19
11122.0,4780.0,12251.0,2021-07-20
12963.0,12244.0,9198.0,2021-07-21
12185.0,2814.0,8397.0,2021-07-22
10935.0,11750.0,3240.0,2021-07-23
12223.0,0.0,87.0,2021-07-24
8869.0,4664.0,0.0,2021-07-25
4828.0,6693.0,0.0,2021-07-26
4828.0,7125.0,0.0,2021-07-26
