truth,pred,pred_sir,fecha
209.0,217.95528632115287,229.85180487453687,2021-05-17
209.0,194.34693913470414,224.38766919799136,2021-05-17
251.0,333.0,261.0,2021-05-18
98.0,390.0,441.0,2021-05-19
206.0,585.0,646.0,2021-05-20
417.0,337.0,479.0,2021-05-21
177.0,316.0,326.0,2021-05-22
243.0,64.0,57.0,2021-05-23
168.0,223.0,0.0,2021-05-24
102.0,0.0,111.0,2021-05-25
0.0,206.0,295.0,2021-05-26
4.0,306.0,507.0,2021-05-27
80.0,19.0,347.0,2021-05-28
206.0,233.0,200.0,2021-05-29
125.0,58.0,0.0,2021-05-30
0.0,76.0,0.0,2021-05-31
0.0,57.0,0.0,2021-05-31
