truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-10-04
0.0,0.0,0.0,2021-10-04
4658.0,31993.0,1946.0,2021-10-05
1708.0,52214.0,2624.0,2021-10-06
2564.0,83873.0,2006.0,2021-10-07
2433.0,133169.0,2019.0,2021-10-08
2370.0,203578.0,0.0,2021-10-09
0.0,295433.0,0.0,2021-10-10
0.0,394602.0,5084.0,2021-10-11
5454.0,446530.0,1409.0,2021-10-12
2412.0,405929.0,2019.0,2021-10-13
3627.0,289435.0,1352.0,2021-10-14
3488.0,169855.0,1321.0,2021-10-15
3604.0,88862.0,0.0,2021-10-16
0.0,45749.0,0.0,2021-10-17
0.0,16219.0,10218.0,2021-10-18
0.0,14661.0,10218.0,2021-10-18
