truth,pred,pred_sir,fecha
793.0,815.0076147183316,791.4624279626297,2021-11-15
793.0,870.6203906773109,724.0572472542723,2021-11-15
3200.0,6033.0,4860.0,2021-11-16
3844.0,4954.0,3709.0,2021-11-17
2811.0,3689.0,2820.0,2021-11-18
2766.0,3533.0,2676.0,2021-11-19
2709.0,1995.0,970.0,2021-11-20
1426.0,1043.0,123.0,2021-11-21
710.0,3337.0,627.0,2021-11-22
3440.0,4302.0,3995.0,2021-11-23
3211.0,3420.0,2761.0,2021-11-24
2561.0,3269.0,1841.0,2021-11-25
2358.0,3212.0,1663.0,2021-11-26
2474.0,1944.0,0.0,2021-11-27
1206.0,1038.0,0.0,2021-11-28
733.0,3623.0,0.0,2021-11-29
733.0,0.0,0.0,2021-11-29
