truth,pred,pred_sir,fecha
6373.0,6914.66282597554,5794.340918456949,2021-01-11
6373.0,6032.20636506082,6179.922788355221,2021-01-11
7347.0,5179.0,6398.0,2021-01-12
6762.0,7048.0,7745.0,2021-01-13
6929.0,6781.0,7809.0,2021-01-14
6967.0,6518.0,7324.0,2021-01-15
6903.0,4596.0,5117.0,2021-01-16
5637.0,4775.0,4529.0,2021-01-17
4800.0,5680.0,0.0,2021-01-18
6020.0,4775.0,4514.0,2021-01-19
5249.0,5258.0,5865.0,2021-01-20
5613.0,5124.0,5971.0,2021-01-21
5522.0,5105.0,5523.0,2021-01-22
5278.0,3836.0,3371.0,2021-01-23
3940.0,3444.0,2839.0,2021-01-24
3610.0,4349.0,0.0,2021-01-25
3610.0,4470.0,0.0,2021-01-25
