truth,pred,pred_sir,fecha
827.0,799.7913972643938,768.7271946353894,2021-09-20
827.0,754.6599949060926,784.3105418749257,2021-09-20
239.0,1243.0,1174.0,2021-09-21
1004.0,2921.0,1994.0,2021-09-22
1752.0,3970.0,1308.0,2021-09-23
1331.0,4997.0,1215.0,2021-09-24
1254.0,6097.0,1165.0,2021-09-25
1258.0,6569.0,502.0,2021-09-26
816.0,6489.0,1603.0,2021-09-27
202.0,7231.0,758.0,2021-09-28
1072.0,8763.0,1531.0,2021-09-29
1853.0,9912.0,817.0,2021-09-30
1686.0,11017.0,697.0,2021-10-01
1487.0,12197.0,628.0,2021-10-02
1422.0,12894.0,0.0,2021-10-03
922.0,12967.0,1051.0,2021-10-04
922.0,15571.0,1051.0,2021-10-04
