truth,pred,pred_sir,fecha
769.0,825.4703090703797,696.5894581197629,2021-04-19
769.0,774.3702122877855,754.2726684390581,2021-04-19
826.0,315.0,453.0,2021-04-20
799.0,390.0,524.0,2021-04-21
921.0,331.0,476.0,2021-04-22
818.0,453.0,546.0,2021-04-23
895.0,367.0,532.0,2021-04-24
856.0,532.0,633.0,2021-04-25
876.0,485.0,0.0,2021-04-26
753.0,490.0,308.0,2021-04-27
588.0,556.0,376.0,2021-04-28
738.0,406.0,328.0,2021-04-29
823.0,589.0,398.0,2021-04-30
646.0,415.0,385.0,2021-05-01
760.0,547.0,488.0,2021-05-02
422.0,0.0,0.0,2021-05-03
422.0,753.0,0.0,2021-05-03
