truth,pred,pred_sir,fecha
5064.0,5506.712140077357,5492.723615495461,2021-11-01
5064.0,4844.057163883937,4901.578321531527,2021-11-01
2759.0,6925.0,4713.0,2021-11-02
7591.0,10320.0,6159.0,2021-11-03
9858.0,12070.0,4563.0,2021-11-04
9420.0,11977.0,2570.0,2021-11-05
8342.0,13566.0,3249.0,2021-11-06
9119.0,14321.0,2518.0,2021-11-07
5712.0,12870.0,1902.0,2021-11-08
2939.0,16988.0,2054.0,2021-11-09
9145.0,22659.0,3537.0,2021-11-10
14422.0,26945.0,2036.0,2021-11-11
13385.0,29629.0,178.0,2021-11-12
10343.0,32972.0,1005.0,2021-11-13
14062.0,32674.0,459.0,2021-11-14
9125.0,30028.0,35.0,2021-11-15
9125.0,49513.0,35.0,2021-11-15
