truth,pred,pred_sir,fecha
77.0,69.48743581692618,74.27157487824056,2020-12-28
400.0,28.0,0.0,2020-12-29
564.0,712.0,654.0,2020-12-30
1181.0,826.0,861.0,2020-12-31
994.0,698.0,746.0,2021-01-01
865.0,347.0,378.0,2021-01-02
1129.0,29.0,11.0,2021-01-03
98.0,396.0,0.0,2021-01-04
459.0,509.0,0.0,2021-01-05
999.0,1111.0,585.0,2021-01-06
1289.0,841.0,793.0,2021-01-07
1005.0,749.0,679.0,2021-01-08
760.0,1026.0,311.0,2021-01-09
1200.0,0.0,0.0,2021-01-10
716.0,459.0,0.0,2021-01-11
716.0,310.0,0.0,2021-01-11
