truth,pred,pred_sir,fecha
1125.0,1216.402069452139,1196.1819687419677,2021-03-08
1125.0,1136.8307998148637,1204.1569311203798,2021-03-08
1106.0,700.0,1008.0,2021-03-09
861.0,916.0,1248.0,2021-03-10
923.0,830.0,1098.0,2021-03-11
1356.0,830.0,866.0,2021-03-12
341.0,832.0,838.0,2021-03-13
502.0,1057.0,1138.0,2021-03-14
425.0,998.0,1970.0,2021-03-15
1131.0,744.0,983.0,2021-03-16
849.0,835.0,1358.0,2021-03-17
790.0,1256.0,1196.0,2021-03-18
589.0,181.0,954.0,2021-03-19
180.0,477.0,921.0,2021-03-20
0.0,361.0,1214.0,2021-03-21
0.0,1079.0,2043.0,2021-03-22
0.0,820.0,2043.0,2021-03-22
