truth,pred,pred_sir,fecha
118.0,125.25850577817302,107.40377248835864,2021-01-11
118.0,121.00099279049986,118.05789255378437,2021-01-11
124.0,255.0,225.0,2021-01-12
287.0,0.0,13.0,2021-01-13
110.0,390.0,366.0,2021-01-14
140.0,0.0,71.0,2021-01-15
176.0,205.0,168.0,2021-01-16
196.0,54.0,79.0,2021-01-17
78.0,107.0,0.0,2021-01-18
106.0,253.0,187.0,2021-01-19
359.0,31.0,0.0,2021-01-20
312.0,130.0,329.0,2021-01-21
0.0,135.0,35.0,2021-01-22
371.0,153.0,133.0,2021-01-23
180.0,30.0,44.0,2021-01-24
37.0,92.0,0.0,2021-01-25
37.0,77.0,0.0,2021-01-25
