truth,pred,pred_sir,fecha
29674.0,30879.886172249768,32340.386350776043,2021-03-22
29674.0,30825.869753642473,31342.823290348,2021-03-22
15530.0,29195.0,30712.0,2021-03-23
14217.0,34958.0,38012.0,2021-03-24
63604.0,31947.0,34019.0,2021-03-25
45171.0,31690.0,32919.0,2021-03-26
40810.0,31780.0,32233.0,2021-03-27
41939.0,26831.0,27272.0,2021-03-28
35851.0,12893.0,1285.0,2021-03-29
8921.0,12821.0,27422.0,2021-03-30
30578.0,62087.0,34255.0,2021-03-31
57446.0,37264.0,30038.0,2021-04-01
50000.0,35904.0,28568.0,2021-04-02
46422.0,36903.0,27680.0,2021-04-03
0.0,30330.0,22437.0,2021-04-04
80166.0,7960.0,44960.0,2021-04-05
80166.0,7531.0,44960.0,2021-04-05
