truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-09-20
0.0,0.0,0.0,2021-09-20
19963.0,38656.0,5460.0,2021-09-21
4650.0,39281.0,11410.0,2021-09-22
10435.0,41423.0,11355.0,2021-09-23
10683.0,42347.0,9174.0,2021-09-24
9708.0,33256.0,0.0,2021-09-25
0.0,27033.0,0.0,2021-09-26
0.0,42712.0,3837.0,2021-09-27
17993.0,41790.0,2637.0,2021-09-28
4159.0,48084.0,8489.0,2021-09-29
11775.0,55575.0,8423.0,2021-09-30
12144.0,63315.0,6243.0,2021-10-01
10110.0,62903.0,0.0,2021-10-02
0.0,64218.0,0.0,2021-10-03
0.0,85289.0,505.0,2021-10-04
0.0,123911.0,505.0,2021-10-04
