truth,pred,pred_sir,fecha
2809.0,2599.7288717783795,3000.3720622270284,2021-02-22
2809.0,2561.6719983101493,2724.8823642863395,2021-02-22
2545.0,1050.0,1374.0,2021-02-23
1418.0,1703.0,2083.0,2021-02-24
2544.0,3105.0,3342.0,2021-02-25
4010.0,3555.0,3500.0,2021-02-26
4196.0,3513.0,3301.0,2021-02-27
4436.0,3452.0,3235.0,2021-02-28
4087.0,3151.0,5706.0,2021-03-01
4105.0,1944.0,1769.0,2021-03-02
2277.0,2862.0,2449.0,2021-03-03
3660.0,4474.0,3679.0,2021-03-04
5638.0,4914.0,3812.0,2021-03-05
5621.0,5218.0,3590.0,2021-03-06
6468.0,4908.0,3496.0,2021-03-07
5523.0,4356.0,2273.0,2021-03-08
5523.0,4723.0,2273.0,2021-03-08
