truth,pred,pred_sir,fecha
2928.0,3202.180491422602,2767.660553773079,2021-05-31
2928.0,2644.416313151023,2826.0205954774233,2021-05-31
1821.0,1062.0,2291.0,2021-06-01
2381.0,2614.0,2991.0,2021-06-02
2797.0,1069.0,3079.0,2021-06-03
1819.0,2390.0,2629.0,2021-06-04
2426.0,514.0,2215.0,2021-06-05
2344.0,2346.0,1965.0,2021-06-06
2262.0,0.0,0.0,2021-06-07
1261.0,2381.0,1281.0,2021-06-08
1851.0,33.0,1998.0,2021-06-09
2073.0,1780.0,2118.0,2021-06-10
1936.0,350.0,1699.0,2021-06-11
1764.0,1935.0,1321.0,2021-06-12
1580.0,0.0,1112.0,2021-06-13
1349.0,1261.0,0.0,2021-06-14
1349.0,0.0,0.0,2021-06-14
