truth,pred,pred_sir,fecha
389.0,391.49678943358384,423.44823806386086,2021-09-20
389.0,400.2264332168247,405.67252804165327,2021-09-20
172.0,364.0,435.0,2021-09-21
436.0,599.0,641.0,2021-09-22
580.0,459.0,433.0,2021-09-23
595.0,405.0,350.0,2021-09-24
552.0,486.0,392.0,2021-09-25
736.0,426.0,297.0,2021-09-26
557.0,211.0,435.0,2021-09-27
284.0,458.0,308.0,2021-09-28
759.0,637.0,497.0,2021-09-29
1058.0,688.0,278.0,2021-09-30
951.0,664.0,184.0,2021-10-01
901.0,855.0,219.0,2021-10-02
1081.0,723.0,120.0,2021-10-03
1016.0,435.0,257.0,2021-10-04
1016.0,496.0,257.0,2021-10-04
